Country,Amount (USD),Transaction Type,Industry,Destination Country,Reported by Authority,Source of Money,Money Laundering Risk Score,Shell Companies Involved,Person Involved
Brazil,3267530.48,Offshore Transfer,Construction,USA,1,0,High,1,1101
China,4965766.73,Stocks Transfer,Luxury Goods,South Africa,0,0,High,0,7484
UK,94167.5,Stocks Transfer,Construction,Switzerland,1,0,Low,3,3655
UAE,386420.14,Cash Withdrawal,Oil & Gas,Russia,0,0,High,2,3226
South Africa,643378.43,Cryptocurrency,Real Estate,USA,1,0,Low,9,7975
Russia,4921056.45,Property Purchase,Arms Trade,Brazil,0,1,High,3,4000
Switzerland,3262817.98,Property Purchase,Oil & Gas,Brazil,0,1,High,8,2517
UAE,4687204.61,Property Purchase,Real Estate,UK,0,0,Low,5,4310
Brazil,903905.95,Cryptocurrency,Arms Trade,India,0,0,Low,6,8955
China,4174994.68,Offshore Transfer,Arms Trade,China,0,0,High,0,9585
South Africa,2675518.77,Offshore Transfer,Casinos,South Africa,1,1,High,1,3241
Switzerland,3370300.35,Stocks Transfer,Arms Trade,UK,0,1,High,1,9098
Brazil,729587.77,Stocks Transfer,Real Estate,Brazil,0,0,Low,7,643
South Africa,2973516.6,Property Purchase,Real Estate,Singapore,0,0,High,3,3269
UK,3669888.19,Stocks Transfer,Construction,China,0,1,Low,5,778
China,3740050.65,Offshore Transfer,Real Estate,Brazil,1,0,Low,6,5538
Switzerland,3865495.57,Stocks Transfer,Real Estate,South Africa,1,0,High,1,8463
India,2168678.37,Cash Withdrawal,Oil & Gas,South Africa,0,0,High,6,5269
South Africa,1486877.07,Cryptocurrency,Luxury Goods,UK,0,0,Low,4,2149
UAE,4311216.03,Cash Withdrawal,Construction,UK,0,1,High,5,8310
Switzerland,4207602.8,Stocks Transfer,Luxury Goods,UAE,0,0,Low,5,4043
USA,2669181.1,Property Purchase,Oil & Gas,Singapore,1,0,Low,7,6311
Brazil,970553.36,Offshore Transfer,Luxury Goods,Switzerland,0,1,Low,2,9762
UK,2556050.53,Cash Withdrawal,Casinos,Singapore,0,0,High,5,5
USA,1001673.61,Property Purchase,Real Estate,USA,0,0,High,1,587
Brazil,4386548.96,Property Purchase,Construction,UAE,0,0,Low,9,1879
UAE,870064.09,Stocks Transfer,Oil & Gas,Russia,0,1,Low,8,4729
Russia,2998826.88,Property Purchase,Real Estate,China,0,1,High,4,516
USA,3747602.56,Offshore Transfer,Luxury Goods,USA,0,0,High,7,160
India,1930397.27,Offshore Transfer,Construction,Switzerland,0,0,High,9,7905
Brazil,1452528.11,Property Purchase,Construction,China,0,0,Low,8,8714
South Africa,3292071.13,Offshore Transfer,Arms Trade,India,0,1,Low,3,5732
UK,4291183.23,Cash Withdrawal,Casinos,South Africa,0,0,High,7,9688
UAE,4862728.18,Cryptocurrency,Luxury Goods,UAE,0,1,High,9,9219
Brazil,2332844.84,Stocks Transfer,Real Estate,Russia,0,1,High,8,9853
Russia,4907863.47,Offshore Transfer,Luxury Goods,USA,1,1,High,9,8363
China,4071726.42,Stocks Transfer,Construction,USA,0,0,Low,6,4599
Switzerland,3260776.77,Cryptocurrency,Real Estate,Singapore,0,1,Low,6,3680
USA,45712.45,Offshore Transfer,Oil & Gas,USA,0,0,Low,8,4804
UK,576321.74,Cryptocurrency,Luxury Goods,China,0,0,Low,5,8600
South Africa,2854182.86,Cash Withdrawal,Construction,China,0,0,Low,7,6246
